registration_number,citation_count,application_number,title,source,status,error,fetched_at
10-2372556,1,10-2020-0108998,모바일 원격제어 기술 기반의 모바일 서비스 관제 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:55
6947850,0,2019-565924,装備信頼指数に基づいたロット（Ｌｏｔ）リスクスコア基盤の動的ロット計測制御方法及びシステム,kipris_citing_service,ok,,2026-06-11T17:38:55
10-2270064,0,10-2019-0107378,함체 내에 패키지화된 데이터 수집 전송 장치,kipris_citing_service,ok,,2026-06-11T17:38:56
"11,016,467",0,"16/328,778",METHOD AND SYSTEM FOR SENSING FINE CHANGES IN PROCESSING/EQUIPMENT MEASUREMENT DATA,kipris_citing_service,ok,,2026-06-11T17:38:56
10-2234217,0,10-2019-0142501,AR 기반의 비계 검증 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:56
10-2233464,3,10-2020-0176766,문서 데이터에서 질병 관련 인자들 간의 관계를 추출하는 방법 및 이를 이용하여 구축되는 시스템,kipris_citing_service,ok,,2026-06-11T17:38:56
10-2212093,8,10-2019-0001092,인공지능 대화형 홈쇼핑（T Commerce） 전화 주문 시스템,kipris_citing_service,ok,,2026-06-11T17:38:57
10-2192655,5,10-2018-0161591,가스 감지기의 센서 검정 방법,kipris_citing_service,ok,,2026-06-11T17:38:57
10-2191016,0,10-2018-0155800,사용자 ID와 로그인 일자를 기준으로 한 프로그램 다운로드 및 설치 방법,kipris_citing_service,ok,,2026-06-11T17:38:57
10-2170206,11,10-2018-0170165,키워드와 관계 정보 이용한 정보 검색 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:57
6757846,0,2019-505448,装備の計測データの微細変動検知方法及びシステム,kipris_citing_service,ok,,2026-06-11T17:38:58
10-2142205,20,10-2019-0000998,설명 가능한 인공지능 모델링 및 시뮬레이션 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:58
10-2123754,10,10-2019-0001099,블록체인 코인 기반의 상품권 서비스 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:58
"10,657,384",0,"15/550,596",METHOD AND SYSTEM FOR DETERMINING COMPLEX SITUATION ACCORDING TO TIME FLOW OF EVENTS OCCURRING IN EACH DEVICE,kipris_citing_service,ok,,2026-06-11T17:38:59
10-2044068,2,10-2017-0125840,모바일 단말 원격제어 시스템을 활용한 IoT 서비스 애플리케이션 테스트 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:59
10-2042318,7,10-2017-0168335,스마트 팩토리 레이아웃 설계 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:59
10-2036956,4,10-2016-0102112,계측-수율 상관성 분석 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:59
"10,437,947",0,"15/704,064",METHOD AND SYSTEM FOR PROVIDING VIRTUAL SEMICONDUCTOR PRODUCT REPLICATING REAL SEMICONDUCTOR PRODUCT,kipris_citing_service,ok,,2026-06-11T17:39:00
10-2015700,6,10-2017-0106439,블록체인 기반 one ID 서비스 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:00
I669767,0,106132082,提供複製實際半導體產品的虛擬半導體產品的方法和系統,kipris_citing_service,ok,,2026-06-11T17:39:00
10-2003616,0,10-2017-0168360,스마트 팩토리 레이아웃 효율성 평가 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:00
10-1995112,0,10-2017-0074579,장비신뢰지수에 기초한 Lot 리스크 스코어 기반의 동적 Lot 계측 제어방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:00
10-1959627,10,10-2017-0073022,실제 반도체 제조물을 복제한 가상 반도체 제조물 제공 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:01
10-1959619,3,10-2017-0024064,반도체 결함 시각화 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:01
10-1953947,0,10-2015-0166143,모바일 단말 원격 제어 시스템을 활용한 고객 상담 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:01
10-1866033,0,10-2016-0084648,웹 브라우저에서의 그리드 렌더링 방법 및 이를 적용한 컴퓨터 시스템,kipris_citing_service,ok,,2026-06-11T17:39:01
10-1862919,0,10-2016-0061883,IT 서비스 구축 사업의 리스크 관리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:02
10-1835143,7,10-2011-0030386,병렬 처리 기반의 지형모델 생성 방법과 시스템,kipris_citing_service,ok,,2026-06-11T17:39:02
10-1823420,2,10-2016-0110422,공정/장비 계측 데이터의 미세 변동 감지 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:02
10-1803085,1,10-2011-0030388,병렬 처리 기반의 디지털 표면 모델 생성 방법과 그 시스템,kipris_citing_service,ok,,2026-06-11T17:39:02
10-1795556,5,10-2015-0167062,얼굴 인식과 얼굴 모션 패턴 인식을 통한 개인 인증 방법 및 장치,kipris_citing_service,ok,,2026-06-11T17:39:03
10-1795547,2,10-2011-0030393,디지털 고도모델 생성방법 및 장치,kipris_citing_service,ok,,2026-06-11T17:39:03
10-1791021,4,10-2015-0130140,임계값 자동 설정에 의한 시스템 자동 모니터링 방법 및 이를 적용한 모니터링 시스템,kipris_citing_service,ok,,2026-06-11T17:39:03
10-1784105,5,10-2016-0074452,AB 테스팅 기반 서비스 제공 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:03
10-1766983,0,10-2015-0190789,이동 통신사 데이터 서비스를 활용한 마케팅 방법 및 마케팅 지원 시스템,kipris_citing_service,ok,,2026-06-11T17:39:04
10-1763043,3,10-2015-0189563,IT 서비스 구축 사업의 공수 추정 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:04
10-1757558,2,10-2015-0179958,IT 서비스 건전성 자동 진단 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:04
10-1757529,2,10-2015-0057153,모바일 비콘과 모바일 애플리케이션을 활용한 위치 추적 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:04
10-1755687,4,10-2011-0030390,촬영화상의 카메라 자세 추정 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:05
10-1751175,4,10-2016-0027584,"온라인 신분증 확인, 안면 인증 및 음성 인증을 활용한 생체정보 등록 방법 및 시스템",kipris_citing_service,ok,,2026-06-11T17:39:05
10-1738770,1,10-2015-0130138,엔터프라이즈 비즈니스 서비스 레벨의 통합 모니터링 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:05
10-1718232,0,10-2015-0122622,모바일 단말 원격 제어 시스템을 활용한 로밍 서비스 테스트 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:05
10-1701676,2,10-2016-0078522,목소리 특징 정보를 이용한 본인 인증 의뢰 및 대행 방법,kipris_citing_service,ok,,2026-06-11T17:39:06
10-1700525,0,10-2015-0122619,모바일 단말 원격 체험 시스템을 활용한 온라인 모바일 단말 판매 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:06
10-1698265,0,10-2015-0035890,장비별 발생 이벤트의 시간 흐름에 따른 복합 상황 판단 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:06
10-1696558,3,10-2015-0170554,증강현실형 HMD를 활용한 독서/학습 보조 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:06
10-1653501,1,10-2015-0121524,모바일 단말 원격 제어 시스템을 활용한 온라인 교육/회의 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:06
10-1573349,20,10-2014-0030229,현재 도로 상황과 과거 이동 정보에 기반한 배송 계획 수립 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:07
10-1573354,1,10-2012-0117312,서버실의 서버 랙 냉각 효율을 향상시키기 위한 냉각보조장치,kipris_citing_service,ok,,2026-06-11T17:39:07
10-1531211,7,10-2013-0100045,사내 지식의 지적 자산화를 위한 직무발명 신고 관리방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:07
10-1524699,0,10-2013-0158254,모바일 기기의 미사용 시간에 근거한 사용자 모니터링 방법,kipris_citing_service,ok,,2026-06-11T17:39:07
10-1509877,3,10-2013-0006521,이미지로부터 생성한 워터마크를 이미지에 삽입하는 기법에 의한 워터마킹 방법 및 장치,kipris_citing_service,ok,,2026-06-11T17:39:08
10-1481868,1,10-2012-0135948,산업단지 클라우드 서비스 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:08
10-1478791,35,10-2012-0135175,전력 관리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:08
10-1478412,1,10-2012-0145945,온라인／오프라인 하이브리드 모바일 게임 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:08
10-1460183,2,10-2012-0143698,신뢰성 있는 메시지 서비스 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:09
10-1450116,2,10-2012-0135192,브로드캐스팅을 이용한 시분할 방식의 배터리 관리 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:09
10-1430134,7,10-2012-0136202,배터리 관리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:09
10-1420006,4,10-2012-0086245,분산처리 기반 카메라 영상 서비스 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:09
10-1416798,34,10-2012-0135182,계층적 구조를 가지는 배터리 관리 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:10
10-1416816,4,10-2012-0136211,절연 저항 측정 장치 및 그 방법,kipris_citing_service,ok,,2026-06-11T17:39:10
10-1416799,3,10-2012-0135408,마스터부와 슬레이브부를 단일 보드화한 배터리 관리 시스템,kipris_citing_service,ok,,2026-06-11T17:39:10
10-1411039,3,10-2012-0012421,음성인식을 이용한 발음 평가 방법 및 이를 적용한 전자기기,kipris_citing_service,ok,,2026-06-11T17:39:10
10-1402410,0,10-2012-0122386,전화통화 연결 전 수신자에 Ｉｎｔｅｒａｃｔｉｖｅ Ｉｍａｇｅ 제공방법 및 이를 적용한 모바일 전화기,kipris_citing_service,ok,,2026-06-11T17:39:11
