no,title,source_id,kind,size_bytes,size,raw_file,readable_file,named_file,open_method,url
53,기술분야별 심사실무가이드 2026.03 _ PDF 다운로드,SRC-007-DOC-022,pdf,24213255,23.1 MB,SRC-007-DOC-022_e6761b5fe0.do,SRC-007-DOC-022_e6761b5fe0.pdf,053_SRC-007-DOC-022_기술분야별 심사실무가이드 2026.03 _ PDF 다운로드.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=5&fileNum=1
54,출원방식심사기준 _ 특허ㆍ실용신안 심사기준,SRC-008-DOC-023,pdf,12266980,11.7 MB,SRC-008-DOC-023_4d266c4ad8.do,SRC-008-DOC-023_4d266c4ad8.pdf,054_SRC-008-DOC-023_출원방식심사기준 _ 특허ㆍ실용신안 심사기준.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=1
55,출원방식심사기준 _ 기술분야별 심사실무가이드,SRC-008-DOC-024,pdf,24213255,23.1 MB,SRC-008-DOC-024_c9fd7dd978.do,SRC-008-DOC-024_c9fd7dd978.pdf,055_SRC-008-DOC-024_출원방식심사기준 _ 기술분야별 심사실무가이드.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=2
56,출원방식심사기준 _ PCT 국제조사 및 국제예비심사 가이드라인,SRC-008-DOC-025,pdf,3101309,3.0 MB,SRC-008-DOC-025_eb81d2a44c.do,SRC-008-DOC-025_eb81d2a44c.pdf,056_SRC-008-DOC-025_출원방식심사기준 _ PCT 국제조사 및 국제예비심사 가이드라인.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=3
57,출원방식심사기준 _ 상표심사기준,SRC-008-DOC-026,pdf,5745767,5.5 MB,SRC-008-DOC-026_f72199f945.do,SRC-008-DOC-026_f72199f945.pdf,057_SRC-008-DOC-026_출원방식심사기준 _ 상표심사기준.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=4
58,출원방식심사기준 _ 디자인 심사기준,SRC-008-DOC-027,pdf,9234793,8.8 MB,SRC-008-DOC-027_a0987e0b70.do,SRC-008-DOC-027_a0987e0b70.pdf,058_SRC-008-DOC-027_출원방식심사기준 _ 디자인 심사기준.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=5
59,"출원방식심사기준 _ 심사자료, 니스 제9판 기준",SRC-008-DOC-028,pdf,5821779,5.6 MB,SRC-008-DOC-028_729b4ea5d9.do,SRC-008-DOC-028_729b4ea5d9.pdf,"059_SRC-008-DOC-028_출원방식심사기준 _ 심사자료, 니스 제9판 기준.pdf","PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=6
60,출원방식심사기준 _ 유사상품 심사기준(니스 제13판 기준),SRC-008-DOC-029,pdf,21884540,20.9 MB,SRC-008-DOC-029_448d9372bb.do,SRC-008-DOC-029_448d9372bb.pdf,060_SRC-008-DOC-029_출원방식심사기준 _ 유사상품 심사기준(니스 제13판 기준).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=25
61,출원방식심사기준 _ 유사상품 심사기준(니스 제12판 기준),SRC-008-DOC-030,pdf,21859723,20.8 MB,SRC-008-DOC-030_1f5819e6f0.do,SRC-008-DOC-030_1f5819e6f0.pdf,061_SRC-008-DOC-030_출원방식심사기준 _ 유사상품 심사기준(니스 제12판 기준).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=7
62,출원방식심사기준 _ 유사상품 심사기준(니스 제11판 기준),SRC-008-DOC-031,pdf,23524586,22.4 MB,SRC-008-DOC-031_c2f76acfd2.do,SRC-008-DOC-031_c2f76acfd2.pdf,062_SRC-008-DOC-031_출원방식심사기준 _ 유사상품 심사기준(니스 제11판 기준).pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?seq=30&fileNum=8
